user_id,product_id,rating
0,2306686,3
0,1447416,3
0,1738582,4
0,2308443,3
0,2025849,5
0,2057529,5
0,1669084,3
0,1941301,4
0,101220,5
0,1933308,3
0,2060556,3
0,2200954,5
0,2111763,5
0,1465731,5
0,1842582,4
0,966861,5
0,2030567,5
0,2301042,3
0,2065258,5
0,1758564,3
0,2191500,4
0,2067072,5
0,2044683,5
0,2284420,3
0,2287860,4
1,1750249,3
1,2069227,3
1,1809193,4
1,1893544,3
1,1933688,5
1,624114,5
1,1867662,5
1,2094977,3
1,1614783,5
1,1585256,4
1,2212629,5
1,1440486,4
1,1955384,4
1,2263739,3
1,873133,4
1,2234565,4
1,2282606,5
1,2187235,5
1,2005916,5
1,2240166,4
1,1745470,4
1,2321701,4
1,2314250,4
1,1673334,4
1,2100071,5
2,1109404,3
2,465690,4
2,1148022,4
2,2126290,3
2,1573062,5
2,1483296,3
2,1436666,4
2,1867605,4
2,2057651,3
2,2016079,5
2,2290534,5
2,2038909,3
2,2258218,4
2,2150969,3
2,2249753,5
2,1407980,3
2,2002822,3
2,2109007,4
2,2107977,3
2,2125870,4
2,2235489,3
2,2168573,5
2,1976976,4
2,1502418,5
2,1581321,4
3,2344430,4
3,2125862,4
3,2058725,3
3,7393,5
3,2010247,4
3,2273449,3
3,2182574,5
3,2052959,3
3,2170660,4
3,564286,3
3,1833565,4
3,2223188,5
3,2163392,3
3,1927045,3
3,1992437,5
3,2036044,5
3,1240944,5
3,2287837,5
3,2336212,4
3,1751007,4
3,2049286,3
3,1510916,5
3,2187102,4
3,1483502,5
3,2253763,5
4,2275808,3
4,1778844,4
4,2182657,3
4,2284958,3
4,1108257,5
4,2340057,4
4,2340271,5
4,2117471,3
4,1971274,4
4,2274983,4
4,1167139,4
4,1988245,5
4,2000149,4
4,2213312,4
4,2310811,4
4,2249860,3
4,1783794,4
4,2258820,4
4,2190197,3
4,2031417,3
4,2183788,5
4,55780,4
4,1880483,5
4,2252815,4
4,2156875,4
5,2207520,5
5,2042091,3
5,2186658,3
5,1808419,3
5,2174258,5
5,1626969,4
5,2201499,4
5,2056869,3
5,1284736,4
5,2303337,3
5,1499185,5
5,1835560,4
5,2231975,3
5,2280428,3
5,1800242,4
5,1457662,5
5,1449263,5
5,2032845,5
5,2035111,5
5,2045748,3
5,1401330,5
5,2254639,4
5,1820745,5
5,1982727,5
5,1955202,4
6,2000164,3
6,1718295,5
6,2083822,3
6,1728344,4
6,1897602,5
6,2298735,5
6,2337657,3
6,2100485,5
6,1985761,5
6,1808955,4
6,1999622,5
6,2276061,5
6,2319507,4
6,1596220,4
6,1990803,3
6,1851898,4
6,2320588,5
6,1947167,3
6,1672997,3
6,2195576,4
6,1324193,3
6,1923838,5
6,1336635,4
6,2321701,4
6,2245199,3
7,2169472,5
7,871111,3
7,1892645,3
7,2045904,3
7,2105294,5
7,2265866,5
7,1904390,4
7,2215879,4
7,2262269,3
7,1952746,4
7,1944446,3
7,2235505,4
7,1891373,3
7,1187871,4
7,2316800,5
7,2087047,5
7,1822733,3
7,1971837,3
7,1973759,4
7,2117745,4
7,1910546,5
7,2049286,3
7,2246668,3
7,2039683,3
7,2075570,5
8,1705961,3
8,2309409,4
8,2115939,5
8,1676154,5
8,2305175,5
8,2182566,3
8,2325165,3
8,2259588,5
8,762518,4
8,1973742,5
8,2101335,4
8,2266047,5
8,2258804,3
8,1161736,4
8,1641737,3
8,2113538,3
8,2321479,3
8,2321552,5
8,1839919,4
8,1449214,3
